25/05/2019,"-9.30","COLES 7998 RICHMOND AU AUS Card xx2004 Value Date: 23/05/2019","+986.49"
24/05/2019,"-12.50","Harlow                   Richmond     AU","+995.79"
24/05/2019,"-11.50","BEEM IT                  BEEM.COM.AU  AU Card xx2004","+1008.29"
23/05/2019,"-20.85","Direct Debit 010758 AHM 33695678","+1019.79"
23/05/2019,"+24.00","Refund Purchase BEEM IT                  BEEM.COM.AU  AU","+1040.64"
23/05/2019,"-9.85","COLES 7998 RICHMOND AU AUS Card xx2004 Value Date: 21/05/2019","+1016.64"
22/05/2019,"-2.00","NHAN NGAI PTY. LTD.      CREMORNE     AU Card xx2004","+1026.49"
22/05/2019,"-15.90","NHAN NGAI PTY. LTD.      CREMORNE     AU Card xx2004","+1028.49"
22/05/2019,"-16.00","THE VAUCLUSE HOTEL RICHMOND VI AUS Card xx2004 Value Date: 17/05/2019","+1044.39"
22/05/2019,"-25.00","Kayo Sports NORTH RYDE NS AUS Card xx2004 Value Date: 18/05/2019","+1060.39"
22/05/2019,"-14.00","MHSOBFC SOUTH YARRA VI AUS Card xx2004 Value Date: 18/05/2019","+1085.39"
21/05/2019,"-11.50","BEEM IT                  BEEM.COM.AU  AU Card xx2004","+1099.39"
21/05/2019,"-0.57","International Transaction Fee Value Date: 16/05/2019","+1110.89"
21/05/2019,"-19.07","EIG*HOSTGATOR.COM 713-5745287 MA USA Card xx2004 USD 13.15 Value Date: 16/05/2019","+1111.46"
21/05/2019,"-15.00","MHSOBFC SOUTH YARRA VI AUS Card xx2004 Value Date: 16/05/2019","+1130.53"
20/05/2019,"-15.00","BERTIES BUTCHERS RICHM   RICHMOND     AU Card xx2004","+1145.53"
19/05/2019,"+45.00","Refund Purchase BEEM IT                  BEEM.COM.AU  AU","+1160.53"
19/05/2019,"+45.00","Refund Purchase BEEM IT                  BEEM.COM.AU  AU","+1115.53"
19/05/2019,"-8.60","SPOTLESS FACILITY MCG    MELBOURNE    AU Card xx2004","+1070.53"
19/05/2019,"-62.00","Harlow                   Richmond     AU","+1079.13"
19/05/2019,"-135.00","Transfer to other Bank CommBank app footy tickets","+1141.13"
18/05/2019,"-7.80","COLES 7998 RICHMOND AU AUS Card xx2004 Value Date: 16/05/2019","+1276.13"
17/05/2019,"-10.00","Harlow                   Richmond     AU","+1283.93"
17/05/2019,"-13.00","Abbotsford Cycles RICHMOND VI AUS Card xx2004 Value Date: 14/05/2019","+1293.93"
17/05/2019,"-13.00","HARLEY HOWARD FREEHO RICHMOND VI AUS Card xx2004 Value Date: 14/05/2019","+1306.93"
17/05/2019,"-31.00","HARLEY HOWARD FREEHO RICHMOND VI AUS Card xx2004 Value Date: 14/05/2019","+1319.93"
16/05/2019,"-4500.00","Transfer to xx4944 CommBank app","+1350.93"
16/05/2019,"-20.85","Direct Debit 010758 AHM 33695678","+5850.93"
16/05/2019,"-52.20","Direct Debit 125206 FITNESS FIRST RI 015600018025010033","+5871.78"
16/05/2019,"+4300.00","Direct Credit 421520 ABAS PROPERTY SO 0140","+5923.98"
16/05/2019,"-4.02","RICHMOND RECREATION RICHMOND VI AUS Card xx2004 Value Date: 14/05/2019","+1623.98"
15/05/2019,"-11.50","BEEM IT                  BEEM.COM.AU  AU Card xx2004","+1628.00"
15/05/2019,"-120.00","HEALTHY AFFAIR PTY L HAMPTON VI AUS Card xx2004 Value Date: 11/05/2019","+1639.50"
15/05/2019,"-10.00","BRIGHTON CHOCOLATES BRIGHTON VI AUS Card xx2004 Value Date: 11/05/2019","+1759.50"
15/05/2019,"-9.10","COLES 7998 RICHMOND AU AUS Card xx2004 Value Date: 13/05/2019","+1769.50"
15/05/2019,"-45.00","SAY IT WITH FLOWERS MALVERN VI AUS Card xx2004 Value Date: 12/05/2019","+1778.60"
15/05/2019,"-7.00","PAGE 8 HAMPTON HAMPTON VI AUS Card xx2004 Value Date: 11/05/2019","+1823.60"
15/05/2019,"-47.50","ARCADIA HOTEL SOUTH YARRA VI AUS Card xx2004 Value Date: 10/05/2019","+1830.60"
14/05/2019,"-111.04","Direct Debit 119218 VODAFONE T1,2DF27D,29","+1878.10"
14/05/2019,"-6000.00","Transfer to xx4944 CommBank app","+1989.14"
14/05/2019,"-17.50","BERTIES BUTCHERS RICHM   RICHMOND     AU Card xx2004","+7989.14"
14/05/2019,"+4226.33","Salary realestate.com.a 00REA Salary","+8006.64"
14/05/2019,"-32.51","A25 PIZZERIA SY South Yarra VI AUS Card xx2004 Value Date: 10/05/2019","+3780.31"
14/05/2019,"-10.00","Royal Saxon Hotel Richmond VI AUS Card xx2004 Value Date: 10/05/2019","+3812.82"
14/05/2019,"-10.00","Royal Saxon Hotel Richmond VI AUS Card xx2004 Value Date: 10/05/2019","+3822.82"
14/05/2019,"-101.75","MHSOBFC SOUTH YARRA VI AUS Card xx2004 Value Date: 11/05/2019","+3832.82"
14/05/2019,"-23.00","THAI AYOTHAYA MELB RICHMOND VI AUS Card xx2004 Value Date: 09/05/2019","+3934.57"
11/05/2019,"+5.00","Refund Purchase BEEM IT                  BEEM.COM.AU  AU","+3957.57"
11/05/2019,"+3.50","Refund Purchase BEEM IT                  BEEM.COM.AU  AU","+3952.57"
11/05/2019,"+60.00","Refund Purchase BEEM IT                  BEEM.COM.AU  AU","+3949.07"
11/05/2019,"-18.99","SOUL PRESS BRIGHTON PT   BRIGHTON     AU Card xx2004","+3889.07"
10/05/2019,"-3.00","BEEM IT                  BEEM.COM.AU  AU Card xx2004","+3908.06"
