-20,-0.006125407
-14.99,-0.004911687
-163.2,-0.003520147
-108.8,-0.003520147
-89.99,-0.007622091
-6.61,-0.000777846
-6,-0.000777846
-20.5,-0.007948959
-30.32,-0.00440981
-47.8,-0.006399529
-23,-0.002824079
-2.8,-0.002551165
-70,-0.006335243
-19.95,-0.003436355
-50,-0.005801623
-52.8,0.001020355
-149,-0.004299707
-200,-0.004964547
-100,-0.009179095
-8.4,-0.006169119
-13.3,-0.007190222
-9,-0.008619416
-21.05,-0.002965325
3743,-0.004520114
-111.04,-0.006269228
-14,-0.006522967
-9,-0.008619416
-12,-0.005441819
-4.78,-0.000655154
-5.92,-0.000655154
-12,-0.006767244
-24,-0.006767244
-11,-0.006767244
-24,-0.006767244
-24,-0.006767244
-15,-0.009246348
-15,-0.005685434
-5.5,-0.002560467
-18.99,-0.002994289
-200,-0.006285476
-9,-0.008619416
-15,-0.010538931
-20,-0.006415242
-9,-0.008619416
-21.05,-0.002965325
-52.2,-0.006010682
-9,-0.008619416
-12,-0.007584266
-10.9,-0.005673748
-36.07,-0.006632262
-20,-0.006125407
-35,-0.002212031
-9,-0.008619416
-9,-0.008619416
-188,-0.010156878
-21.05,-0.002965325
1048.5,-0.004520114
-9,-0.008619416
-3.7,-0.008619416
-20,-0.006639522
-9,-0.008619416
-21.5,-0.008005225
-14.29,-0.00332597
-4,-0.005070437
-4,-0.005070437
-67.65,-0.002203631
-30.47,-0.007919263
-9,-0.008619416
-20,-0.010156878
-21.05,-0.002965325
-52.2,-0.006010682
-100,-0.004964547
-9,-0.008619416
-75,-0.009179095
-25,-0.009179095
-37,-0.009246348
-9,-0.008619416
-30.16,-0.004307996
-6,-0.005685434
-10,-0.005685434
-200,-0.006285476
-15,-0.005685434
-18.75,-0.004841066
-154,-0.007040958
28.45,-0.005673826
-148,0.005932872
-9,-0.008619416
-15,-0.010112016
-20,-0.006125407
-9.4,-0.008619416
-9,-0.008619416
-21.05,-0.002965325
-9,-0.008619416
-74.2,-0.008086563
-111.04,-0.006269228
-5.2,-0.004142761
-8,-0.005441819
-16,-0.005441819
-31.96,-0.003635243
3766,-0.004520114
-15,-0.005685434
-151,-0.006951498
-19.5,-0.001037342
-13.02,-0.00552355
-9,-0.008619416
-22,-0.00197998
-9,-0.008619416
-21.05,-0.002965325
-52.2,-0.006010682
-39,-0.007525686
-9,-0.008619416
-13,-0.008008501
-5.5,-0.007899727
1000,-0.008986221
-80,-0.007180858
-9,-0.008619416
-26,-0.005121666
-79,-0.004307996
-8,-0.005685434
318.99,-0.002129976
2000,-0.010287876
-92,-0.005898837
-15,-0.005685434
-42.3,-0.006444278
-18.99,-0.002994289
-120,-0.004799461
-9,-0.008619416
-21.05,-0.002965325
-9,-0.008619416
-200,-0.006285476
-9,-0.008619416
-88.5,-0.009701609
-5,-0.00660529
-7.2,-0.007238515
-10,-0.004149055
-20,-0.006639522
-23.75,-0.010354022
45,-0.011921619
-14.29,-0.00332597
45,-0.002898135
-89,-0.001492682
-21.05,-0.002965325
-52.2,-0.006010682
-8.99,-0.004911687
-17,-0.010538931
620,-0.001014769
75,0.000447018
-309.9,0.003724518
-18.28,-0.004841066
-21.05,-0.002965325
75,-0.006845457
75,-0.006845457
-300,-0.004668297
-24,-0.008008501
-5.04,-0.008318013
-30,-0.002781445
-12.99,-0.004911687
-2.81,-0.004911687
-20.72,-0.008390294
-19,-0.008250822
-39.74,-0.00440981
-3.7,-0.008619416
-40,-0.003686502
-30,-0.006839923
-20,-0.004641095
-111.04,-0.006269228
-200,-0.006285476
-9,-0.008619416
-1000,-0.006997889
200,-0.003528454
-21.05,-0.002965325
-52.2,-0.006010682
-3000,-0.012711523
3745,-0.004520114
-9,-0.008619416
-14,-0.005441819
-33,-0.007878461
-20,-0.006125407
-12.99,-0.000713144
-9,-0.008619416
-14.5,-0.004072054
-4.05,-0.008341283
-5.1,-0.008341283
-8,-0.004873686
-8.4,-0.004873686
-394.5,-0.00461668
-46,-0.005673275
-4,-0.004490636
90,-0.003974838
-9,-0.008619416
-17.5,-0.010538931
-21.05,-0.002965325
-9,-0.008619416
-78.5,-0.002803952
-49.8,-0.004425232
-9,-0.008619416
-25,-0.005441819
-3.6,-0.007238515
-30,-0.011776505
-9,-0.008619416
-21.05,-0.002965325
-52.2,-0.006010682
-200,-0.006285476
769.6,-0.00218601
-14.29,-0.00332597
-4000,-0.012711523
3000,-0.008986221
-20,-0.006125407
-5,-0.002560467
-11.49,-0.002560467
-3.9,-0.005868528
-48.9,-0.008193821
-15,-0.005685434
-10.8,-0.002203631
